Alpha,SO_Mild_Alpha,SO_Mandatory_Alpha,Beta,SO_Mild_Beta,SO_Mandatory_Beta
0.38888888888888884,50228.52077253592,61840.00463008469,0.18888888888888888,51645.42083751803,60687.30919396862
0.38888888888888884,50535.51254144455,60982.726258375355,0.18888888888888888,50735.41315567872,61741.446659858746
0.38888888888888884,50051.8098217899,61089.40430170029,0.18888888888888888,50689.321837908865,62457.14068323682
0.38888888888888884,50696.127279720225,60978.160187469664,0.18888888888888888,51015.74666877857,61473.009614344046
0.38888888888888884,50869.612220934665,60953.18724845248,0.18888888888888888,50460.57312227917,61807.579455913205
0.38888888888888884,50382.05215324888,60523.319465420915,0.18888888888888888,51360.754796379166,61735.87072235045
0.38888888888888884,50724.182862846625,61033.078819881885,0.18888888888888888,50710.56761064887,61319.02482224432
0.38888888888888884,51233.87969811239,61519.07167530081,0.18888888888888888,50964.79719682243,61825.951927852126
0.38888888888888884,50486.69433130827,61779.25467718012,0.18888888888888888,50415.66849472969,62179.87475466322
0.38888888888888884,50646.9988691555,61670.79672709405,0.18888888888888888,51630.799432404674,61691.16565059935
0.38888888888888884,50013.258694615804,61397.261095787224,0.18888888888888888,50928.84659933411,61114.19935630956
0.38888888888888884,50695.80537474595,60394.29613405605,0.18888888888888888,51146.37254046466,61898.7537751304
0.38888888888888884,51197.75717648929,60586.5005378143,0.18888888888888888,50614.725538038285,61294.920407190664
0.38888888888888884,49794.96326214489,59742.323901259784,0.18888888888888888,51701.562899588615,61858.051784703166
0.38888888888888884,50681.372414357844,60345.133953209326,0.18888888888888888,50318.942129837415,62094.438812874316
0.38888888888888884,50185.98470126596,61585.60086040327,0.18888888888888888,50892.60643418168,61696.11283183019
0.38888888888888884,50540.47089929089,60854.818036360535,0.18888888888888888,51267.05642554663,60360.28512267572
0.38888888888888884,49649.10468903221,61112.86022396091,0.18888888888888888,49874.25797221894,62356.276028934975
0.38888888888888884,50872.08207627097,61517.084890043014,0.18888888888888888,50713.31671955428,61453.28052622733
0.38888888888888884,51337.8348623982,60839.93738000151,0.18888888888888888,50108.89928361144,61763.591341241314
0.38888888888888884,49785.92759758733,61321.64215608888,0.18888888888888888,50936.40568061606,62387.07398766425
0.38888888888888884,50550.15505871447,61164.23686027471,0.18888888888888888,50964.000365372434,61515.262716807454
0.38888888888888884,50071.24543956237,59839.977116575436,0.18888888888888888,50980.61615371259,62221.41094778897
0.4333333333333333,50163.36003559083,61778.53423314754,0.23333333333333334,51312.27650692619,62110.717395660875
0.4333333333333333,50808.64846586729,61982.63200029303,0.23333333333333334,51003.95759132294,61509.33639392477
0.4333333333333333,50839.25762118289,61868.00862129165,0.23333333333333334,50350.26726041909,61204.49696381116
0.4333333333333333,51049.03267717204,61510.23758516425,0.23333333333333334,51063.64981060419,62049.14003496754
0.4333333333333333,50680.416043533085,60045.56878386409,0.23333333333333334,51413.81890796861,62080.865926124934
0.4333333333333333,50338.3746249856,61193.2986369645,0.23333333333333334,51392.10239123964,61734.72668467904
0.4333333333333333,50612.26480259617,61034.83058267845,0.23333333333333334,51252.08789838482,61299.26474403482
0.4333333333333333,51135.448673545776,61059.24501766274,0.23333333333333334,50836.5737407287,60884.257197880725
0.4333333333333333,51217.88298747528,61019.42248236869,0.23333333333333334,50882.4589947195,62412.39324202052
0.4333333333333333,50364.77676868009,61160.09382346173,0.23333333333333334,50901.771991708054,62160.91249608661
0.4333333333333333,50418.54966199876,62089.318973020796,0.23333333333333334,51003.25927371233,61514.78709368032
0.4333333333333333,50503.12435270316,61349.17210219603,0.23333333333333334,50773.34276149105,62389.84224682543
0.4333333333333333,50295.76835258644,61370.10326295903,0.23333333333333334,51225.0036945706,61491.20209977331
0.4333333333333333,50774.89092141338,61392.41956340249,0.23333333333333334,50172.93089371741,61903.42329178224
0.4333333333333333,50591.52082740632,62008.015196802255,0.23333333333333334,50575.72675478179,61711.28249511836
0.4333333333333333,50803.49139293717,60924.55758963073,0.23333333333333334,50139.455375119425,62320.37642875565
0.4333333333333333,50624.03404635037,61230.824909274976,0.23333333333333334,50818.177763033076,61827.329985567376
0.4333333333333333,50927.17964543734,61551.46990369196,0.23333333333333334,50450.20155896908,61661.30764707019
0.4333333333333333,51231.82207183516,61129.979358637516,0.23333333333333334,50927.896554830295,61493.37138676149
0.4333333333333333,50570.45658552676,60967.942922928174,0.23333333333333334,50758.73579163333,62493.145712276666
0.4333333333333333,50645.76520004007,60731.709491656606,0.23333333333333334,49991.64568184901,61892.28085053067
0.4333333333333333,50827.40894959169,61472.27020733457,0.23333333333333334,50473.93363319092,62468.24499491719
0.4333333333333333,50744.25903569063,61894.067321847084,0.23333333333333334,50776.30301624803,61276.42271280423
0.4333333333333333,50779.06791131448,60861.61123180804,0.23333333333333334,50758.86164782383,61974.81712886766
0.4333333333333333,50388.73027889652,61459.909214284875,0.23333333333333334,52254.477895455144,60745.0949843352
0.4333333333333333,50502.61693166285,61397.020980322566,0.23333333333333334,50267.10859917445,62452.609440234024
0.4333333333333333,51477.392920742685,61550.17772304338,0.23333333333333334,50112.186845350305,61804.81596142456
0.4333333333333333,50857.79647494082,60495.59925221466,0.23333333333333334,50624.984227147535,61479.787976612584
0.4333333333333333,51039.668992783096,62925.9809397792,0.23333333333333334,50780.570358862424,61633.65863942039
0.4333333333333333,51339.49373480923,61279.9049080439,0.23333333333333334,51395.19747377662,62464.14735372151
0.4333333333333333,51807.19537848627,61513.74818329777,0.23333333333333334,51079.81864849704,61681.96373108082
0.4333333333333333,50819.939804927366,61366.28189210609,0.23333333333333334,50995.90160207087,62202.512783372214
0.4333333333333333,50520.00723256403,60375.952403614465,0.23333333333333334,51367.51581986876,61985.02342349251
0.4333333333333333,51060.41368260989,61351.50089626372,0.23333333333333334,51630.49744268801,61491.74397303758
0.4333333333333333,50572.636322729806,61636.66882206924,0.23333333333333334,51436.64481455904,62152.17993138032
0.4333333333333333,50459.37754951621,61631.9133886015,0.23333333333333334,50561.666478298976,61916.34294133899
0.4333333333333333,51268.196921389455,61702.40667684751,0.23333333333333334,51017.38145581533,61728.98377982166
0.4333333333333333,50589.918098244285,61438.252448058665,0.23333333333333334,50790.19891669773,61037.586184157204
0.4333333333333333,50766.96345620554,61083.92485116988,0.23333333333333334,50522.0330601661,61680.813933905236
0.4333333333333333,50770.59651730462,61842.285446236965,0.23333333333333334,50580.382471834964,61372.167965788634
0.4333333333333333,50710.424714722045,61287.93355103331,0.23333333333333334,51397.21234322617,61748.03745667766
0.4333333333333333,50523.1149067517,61826.08442015493,0.23333333333333334,51950.03752693488,61911.37374953313
0.4333333333333333,50116.57856437484,61091.771428076856,0.23333333333333334,51386.744263009015,61695.93897751586
0.4333333333333333,49863.21615977628,61516.9993496699,0.23333333333333334,50535.82928370568,61931.424602567895
0.4333333333333333,51097.610504537275,62165.740913228765,0.23333333333333334,51514.42470204724,61755.463782272804
0.4333333333333333,51440.99958826403,61154.76292890439,0.23333333333333334,51090.05575855726,61928.7802157262
0.4333333333333333,50791.682149422486,61298.84382940798,0.23333333333333334,50817.666205536756,61776.58776729438
0.4333333333333333,51490.48864277922,62151.7231500529,0.23333333333333334,50367.42935230654,61794.455733248375
0.4333333333333333,50750.702386155295,61190.322126894374,0.23333333333333334,51193.31364836383,61947.85605907185
0.4333333333333333,48942.64520954762,60783.2000912417,0.23333333333333334,50958.756930484895,62162.50572311043
0.47777777777777775,49962.742509635085,61110.21704838124,0.2777777777777778,51053.02301073149,61940.291302759244
0.47777777777777775,51828.312697844856,61185.81262662747,0.2777777777777778,51323.13575903607,62001.63314250782
0.47777777777777775,50358.41739146972,61373.071267175306,0.2777777777777778,50837.25790848433,62167.468460906806
0.47777777777777775,52188.16125337706,61802.10721943776,0.2777777777777778,50937.94635277194,61792.576604739734
0.47777777777777775,51385.99102194102,61921.031039094596,0.2777777777777778,51033.26666815593,62016.8787562937
0.47777777777777775,49896.68438008889,62599.653067158106,0.2777777777777778,50403.74319358806,62099.948566983396
0.47777777777777775,51089.437264559216,61772.476843825716,0.2777777777777778,51878.81198009814,61443.52773742908
0.47777777777777775,51768.952621061355,61660.05886447845,0.2777777777777778,50704.267693736314,63323.34644495281
0.47777777777777775,50816.6813065105,61660.78197303571,0.2777777777777778,50544.489211394786,62576.528371914836
0.47777777777777775,51427.034531545396,62240.244799345106,0.2777777777777778,50841.20247771019,61963.403329488196
0.47777777777777775,51028.19831981984,61307.44955957709,0.2777777777777778,50889.971652028806,62146.183644073666
0.47777777777777775,50703.77209165096,61307.29119971597,0.2777777777777778,50165.67896730607,62026.46356203243
0.47777777777777775,51469.07279974746,61045.96965414703,0.2777777777777778,50753.87463087327,61001.79638586134
0.47777777777777775,51686.07448297112,62477.15977203293,0.2777777777777778,51516.000069400165,60879.58195000244
0.47777777777777775,50429.624443571374,61625.09120151341,0.2777777777777778,52029.77867075191,62241.80992591044
0.47777777777777775,50532.67368667176,62048.45023218254,0.2777777777777778,50275.0576611667,62602.38015734194
0.47777777777777775,51595.11300223255,62426.142991502915,0.2777777777777778,50580.365821709674,61580.92139189325
0.47777777777777775,50672.42365218115,62460.73686720557,0.2777777777777778,50055.07039917092,61501.3518833868
0.47777777777777775,51474.79990611953,61738.91637895639,0.2777777777777778,50582.471169606324,62342.40637614594
0.47777777777777775,50884.15964992743,62604.19037565672,0.2777777777777778,51539.15248862018,61312.93894401121
0.47777777777777775,51418.06982901207,62445.725325587955,0.2777777777777778,51090.825540234495,61013.20600670458
0.47777777777777775,52181.58094491394,62106.96684148952,0.2777777777777778,51092.7279429999,63014.37342370379
0.47777777777777775,51051.721249344286,62512.30206399617,0.2777777777777778,50065.649341153454,61426.00006224992
0.47777777777777775,51882.79934462239,61527.63636807541,0.2777777777777778,51319.19316284236,62355.93057081842
0.47777777777777775,50787.959628295575,61324.04802305979,0.2777777777777778,50484.99718301855,62670.12420101238
0.47777777777777775,51060.263876094476,62277.96263524537,0.2777777777777778,50547.76633931922,62770.067137134836
0.47777777777777775,50414.45024657161,62400.23109344417,0.2777777777777778,51189.881399576014,62568.94085935185
0.47777777777777775,50662.225432603474,61565.93795641781,0.2777777777777778,51140.96961868829,62261.8153855105
0.47777777777777775,51453.85801550077,61520.7630542149,0.2777777777777778,51310.621818845175,62505.72660465003
0.47777777777777775,50187.139650277335,62205.16188828786,0.2777777777777778,50939.14165547684,61483.38141579061
0.47777777777777775,50823.03774044232,62432.36274992185,0.2777777777777778,50916.08599205405,61599.58941771287
0.47777777777777775,51305.38422427062,60959.18415294252,0.2777777777777778,50654.51950163677,62760.72195323354
0.47777777777777775,51546.65610058335,62783.20830975681,0.2777777777777778,51266.91950093373,62221.70207444979
0.47777777777777775,51405.690643521004,62370.263545106856,0.2777777777777778,51491.877326766116,62242.08857971603
0.47777777777777775,50765.052848435014,61594.98565651604,0.2777777777777778,51889.094302972444,60886.01116917694
0.47777777777777775,50995.11123640199,62293.2860123436,0.2777777777777778,50456.75924965717,61582.99740924675
0.47777777777777775,51336.25569294872,61614.44200953075,0.2777777777777778,50267.69731682011,61989.79471899398
0.47777777777777775,50619.309339641084,61088.256610141485,0.2777777777777778,51035.521903270535,62921.00145264278
0.47777777777777775,51212.34885156664,61638.44269631233,0.2777777777777778,51407.450126481905,61679.5701175893
0.47777777777777775,50738.36649033215,62697.27092322209,0.2777777777777778,51202.73529580426,61019.84327311901
0.47777777777777775,51188.08334228108,61994.782676417904,0.2777777777777778,51026.68316880359,61977.72699063932
0.47777777777777775,51303.98753412673,62543.640337054574,0.2777777777777778,50504.50685687307,61832.73464896886
0.47777777777777775,50080.14850880636,61550.51911485911,0.2777777777777778,50609.2868109173,61467.06067422221
0.47777777777777775,50772.821489600545,61344.16236718157,0.2777777777777778,51292.80512581949,62450.28893024084
0.47777777777777775,50756.2781023919,61057.76588264652,0.2777777777777778,51210.55332604629,61714.280998623544
0.47777777777777775,51349.978519038414,61574.58103796612,0.2777777777777778,50624.278757256216,61729.83334199012
0.47777777777777775,50989.367087831975,61858.987643161934,0.2777777777777778,50845.55160846121,61497.28820423744
0.47777777777777775,51167.59858945091,60602.888545747395,0.2777777777777778,51482.46754914356,61832.196467638125
0.47777777777777775,51114.020749417876,61695.78747324368,0.2777777777777778,51337.99598054476,61233.372912130544
0.47777777777777775,51092.32085249624,61243.60672946416,0.2777777777777778,50611.38530989156,62363.03003190962
0.5222222222222221,51317.948146281014,62815.92259652877,0.32222222222222224,51481.217432653124,61465.40169426224
0.5222222222222221,51205.994241010696,61808.04625335069,0.32222222222222224,51195.97888244317,62231.32380594257
0.5222222222222221,50774.34541464446,62454.787317114286,0.32222222222222224,50690.337755092885,62245.16566318144
0.5222222222222221,51395.93326720765,62344.93765803004,0.32222222222222224,50254.218594598846,61603.22074018135
0.5222222222222221,51092.34859611398,62268.14665434221,0.32222222222222224,51343.92341727253,62081.41679601681
0.5222222222222221,51078.65656950925,61976.22614703345,0.32222222222222224,51085.154608237106,61979.12532427385
0.5222222222222221,51489.8495661879,62321.72508723722,0.32222222222222224,51312.89573521065,62359.21511337317
0.5222222222222221,51756.38194207224,62725.09935675868,0.32222222222222224,51440.19350082243,62129.50126679758
0.5222222222222221,51249.85137728313,62464.35698326482,0.32222222222222224,50850.23852422918,61788.15846190684
0.5222222222222221,50632.51747874317,62127.87192768604,0.32222222222222224,50516.0211154163,61865.2717559824
0.5222222222222221,51282.44252615326,61375.29863902964,0.32222222222222224,50741.25228292303,62867.45604379558
0.5222222222222221,51325.82214127068,61687.053179375194,0.32222222222222224,50520.97564885394,62585.34772540836
0.5222222222222221,50686.31916584686,61901.92388808402,0.32222222222222224,50910.57547278203,61963.43018962141
0.5222222222222221,51095.85777799078,61502.652388150935,0.32222222222222224,51245.03848975014,61357.39789060511
